                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.34527,                0.24199,                0.77472,                0.99954,                0.99939,                  0.995,                0.96035,                   0.28,                0.20487,                0.76844,             0.00036764,             0.00036764,             0.00036764
                     51,                0.34906,                0.23929,                  0.775,                0.99959,                0.99937,                  0.995,                0.96236,                0.28185,                0.20525,                0.76835,             0.00036057,             0.00036057,             0.00036057
                     52,                0.36047,                0.24911,                0.77849,                0.99951,                0.99954,                  0.995,                0.95505,                0.29857,                0.21581,                0.76852,              0.0003535,              0.0003535,              0.0003535
                     53,                0.33223,                0.23701,                0.76783,                0.99964,                0.99943,                  0.995,                0.96085,                0.28531,                0.20898,                0.76783,             0.00034643,             0.00034643,             0.00034643
                     54,                0.34103,                0.23517,                0.77676,                0.99961,                0.99954,                  0.995,                0.96294,                0.27651,                0.20427,                0.76753,             0.00033936,             0.00033936,             0.00033936
                     55,                0.33754,                0.22965,                0.76905,                0.99955,                0.99941,                  0.995,                0.96043,                0.28196,                0.20605,                0.76851,              0.0003323,              0.0003323,              0.0003323
                     56,                0.35258,                0.24051,                0.77511,                0.99966,                0.99954,                  0.995,                0.96451,                0.27069,                0.20087,                0.76735,             0.00032523,             0.00032523,             0.00032523
                     57,                0.34403,                0.23642,                0.77413,                 0.9994,                 0.9994,                  0.995,                0.95655,                0.29591,                0.20808,                0.76841,             0.00031816,             0.00031816,             0.00031816
                     58,                0.35066,                 0.2345,                0.77511,                 0.9996,                0.99942,                  0.995,                0.96352,                0.27373,                 0.1965,                0.76755,             0.00031109,             0.00031109,             0.00031109
                     59,                0.32584,                0.22522,                0.77475,                0.99963,                0.99954,                  0.995,                0.95722,                0.28861,                0.19896,                0.76852,             0.00030402,             0.00030402,             0.00030402
                     60,                0.35866,                 0.2357,                0.78042,                0.99932,                0.99954,                  0.995,                0.96261,                0.27747,                0.20169,                0.76836,             0.00029695,             0.00029695,             0.00029695
                     61,                 0.3418,                0.23966,                0.77458,                0.99963,                0.99951,                  0.995,                0.95999,                0.27717,                0.19703,                0.76775,             0.00028988,             0.00028988,             0.00028988
                     62,                0.33984,                0.23695,                0.76739,                0.99958,                0.99935,                  0.995,                0.96289,                0.27402,                 0.2003,                0.76811,             0.00028282,             0.00028282,             0.00028282
                     63,                0.33145,                0.22379,                0.77584,                0.99966,                0.99935,                  0.995,                0.96512,                0.27518,                0.19201,                0.76853,             0.00027575,             0.00027575,             0.00027575
                     64,                0.33762,                0.22873,                0.77933,                0.99961,                0.99954,                  0.995,                 0.9622,                0.27227,                0.19336,                0.76716,             0.00026868,             0.00026868,             0.00026868
                     65,                0.32611,                0.22591,                0.77577,                0.99965,                0.99954,                  0.995,                 0.9622,                0.27455,                0.19385,                0.76729,             0.00026161,             0.00026161,             0.00026161
                     66,                0.33596,                0.22667,                0.77538,                0.99959,                0.99954,                  0.995,                0.96513,                0.26935,                0.19182,                0.76817,             0.00025454,             0.00025454,             0.00025454
                     67,                0.32247,                0.21809,                0.77495,                0.99958,                0.99954,                  0.995,                 0.9657,                0.27103,                0.18954,                0.76747,             0.00024747,             0.00024747,             0.00024747
                     68,                0.31274,                0.21306,                0.77763,                 0.9995,                0.99954,                  0.995,                0.96547,                0.26399,                0.18719,                 0.7671,              0.0002404,              0.0002404,              0.0002404
                     69,                0.33017,                0.21928,                0.77404,                0.99963,                0.99954,                  0.995,                0.96763,                0.26642,                0.18987,                0.76768,             0.00023334,             0.00023334,             0.00023334
                     70,                0.31323,                0.21279,                0.77346,                0.99961,                0.99954,                  0.995,                 0.9653,                0.26518,                 0.1867,                0.76726,             0.00022627,             0.00022627,             0.00022627
